,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
0,SL-1 R/B,6954.0,0.05205637043428243,65.1
1,SPUTNIK 1,6950.0,0.07309352517985611,65.0
2,SPUTNIK 2,7313.0,0.09900177765622864,65.33
3,EXPLORER 1,6577.0,0.002432720085145203,33.15
4,VANGUARD 1,8615.0,0.18432965757399883,34.25
5,EXPLORER 3,7306.0,0.11100465370928005,33.5
6,SL-1 R/B,7266.5,0.09392417257276543,65.14
7,SPUTNIK 3,6575.0,0.0088212927756654,65.06
8,EXPLORER 4,6790.0,0.025478645066273932,50.25
9,SCORE,7051.0,0.07289746135299957,32.29
10,VANGUARD 2,8109.5,0.14544669831678894,32.87
11,VANGUARD R/B,8304.5,0.16527184056836655,32.9
12,DISCOVERER 1,6783.5,0.04297191715191273,90.0
13,DISCOVERER 2,6670.5,0.008020388276740875,89.9
14,EXPLORER 6,27641.5,0.76017944033428,46.95
15,VANGUARD R/B,8812.5,0.20249645390070922,34.27
16,THOR ABLE R/B,26584.5,0.7526378152682954,47.1
17,DISCOVERER 5,6608.0,0.014073849878934624,79.99
18,DISCOVERER 6,6698.0,0.022245446401911017,84.0
19,VANGUARD 3,8243.5,0.16479650633832715,33.35
20,LUNA 3,256627.0,0.9731984553456963,55.0
21,EXPLORER 7,6912.0,0.010561342592592593,50.28
22,JUNO II R/B,6615.0,0.0018140589569160999,50.27
23,DISCOVERER 7,6728.0,0.02809155766944114,81.64
24,DISCOVERER 8,6555.0,0.009458428680396643,80.65
25,DISCOVERER 5 CAPSULE,6589.5,0.010395325897260794,78.94
27,THOR ABLE R/B,6543.5,0.0003820585313670054,48.34
28,TIROS 1,7017.0,0.0022801767136953113,48.38
30,TRANSIT 1B,6588.5,0.0014419063519769296,51.2
31,DISCOVERER 11,6637.5,0.01770244821092279,80.1
32,THOR ABLESTAR DEB,6828.0,0.024165202108963092,51.29
35,SPUTNIK 4 CABIN,6566.5,0.0026650422599558366,64.96
36,SPUTNIK 4 DEB,6795.0,0.019867549668874173,64.89
37,SPUTNIK 4 DEB,6683.0,0.0034415681580128683,64.89
38,SPUTNIK 4 DEB,6701.5,0.006043423114228158,64.89
39,SPUTNIK 4 DEB,6756.5,0.014282542736623991,64.89
40,SPUTNIK 4 DEB,6689.0,0.004185976977126625,64.89
41,SPUTNIK 4 DEB,6713.5,0.012586579280554108,64.89
42,MIDAS 2,6544.5,0.00022920009168003668,33.05
44,TRANSIT 2A,7153.0,0.025863274150706,66.69
45,SOLRAD 1 (GREB),7095.0,0.019591261451726568,66.69
46,THOR ABLESTAR R/B,7123.5,0.022952200463255423,66.66
47,DISCOVERER 13,6622.0,0.004228329809725159,82.85
48,ECHO 1,6784.5,0.0018424349620458397,47.19
49,DELTA 1 R/B,7970.0,0.011417816813048933,47.23
50,ECHO 1 DEB [METAL OBJ],7978.0,0.010654299323138631,47.21
51,ECHO 1 DEB [MYLAR OBJ],7980.5,0.013595639370966731,47.38
52,ECHO 1 DEB [METAL OBJ],7982.0,0.010022550739163118,47.28
55,SL-3 R/B,6550.5,0.0006869704602702084,64.94
