,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
50,ECHO 1 DEB [METAL OBJ],7978.0,0.010654299323138631,47.21
51,ECHO 1 DEB [MYLAR OBJ],7980.5,0.013595639370966731,47.38
52,ECHO 1 DEB [METAL OBJ],7982.0,0.010022550739163118,47.28
84,SCOUT X-1 DEB,7045.5,0.023064367326662408,38.72
114,THOR ABLE DEB [YO],6972.0,0.0030120481927710845,48.16
118,THOR ABLESTAR DEB,7184.5,0.010230357018581668,66.73
119,THOR ABLESTAR DEB,7176.5,0.01052044868668571,66.71
120,THOR ABLESTAR DEB,7271.5,0.008595200440074263,66.75
121,THOR ABLESTAR DEB,6995.5,0.005503537988707026,66.75
122,THOR ABLESTAR DEB,7137.5,0.010998248686514887,66.69
123,THOR ABLESTAR DEB,7157.0,0.0076847841274276935,66.54
124,THOR ABLESTAR DEB,7248.5,0.007242877836793819,66.88
125,THOR ABLESTAR DEB,7133.0,0.006308706014299734,66.71
126,THOR ABLESTAR DEB,7122.0,0.006318449873631003,66.83
127,THOR ABLESTAR DEB,7266.0,0.009083402146985962,66.67
129,THOR ABLESTAR DEB,7275.0,0.00852233676975945,66.77
130,THOR ABLESTAR DEB,7267.0,0.0077060685289665615,66.73
131,THOR ABLESTAR DEB,7290.5,0.00816130580892943,66.66
132,THOR ABLESTAR DEB,7199.5,0.0059031877213695395,67.12
133,THOR ABLESTAR DEB,7281.0,0.008790001373437715,66.88
135,THOR ABLESTAR DEB,7142.0,0.005600672080649678,67.53
137,THOR ABLESTAR DEB,7259.5,0.003788139679041256,67.16
140,THOR ABLESTAR DEB,7313.0,0.004785997538629837,66.59
143,THOR ABLESTAR DEB,7302.5,0.003765833618623759,66.5
144,THOR ABLESTAR DEB,7263.0,0.005920418559823764,66.92
146,THOR ABLESTAR DEB,7196.0,0.005141745414118955,66.62
147,THOR ABLESTAR DEB,7242.5,0.01567138419054194,65.77
149,THOR ABLESTAR DEB,7331.5,0.006751687921980495,66.25
151,THOR ABLESTAR DEB,7235.5,0.015962960403565752,66.59
153,THOR ABLESTAR DEB,7252.5,0.007514650120648053,66.66
154,THOR ABLESTAR DEB,7115.0,0.0036542515811665496,66.88
157,THOR ABLESTAR DEB,7777.0,0.06146328918606146,67.08
158,THOR ABLESTAR DEB,7629.5,0.036109836817615835,65.53
166,DELTA 1 DEB [YO],7191.0,0.009039076623557225,47.84
171,THOR ABLESTAR DEB,7419.0,0.01334411645774363,67.07
176,THOR ABLESTAR DEB,7223.0,0.010798837048317873,66.65
177,THOR ABLESTAR DEB,7297.0,0.007263258873509661,66.86
187,MIDAS 3 DEB,9807.5,0.013408106041294927,91.1
193,MIDAS 4 DEB,9985.0,0.039559339008512766,95.84
194,MIDAS 4 DEB,10019.5,0.012226158989969559,95.87
195,MIDAS 3 DEB,9838.0,0.011384427729213255,91.11
209,THOR ABLESTAR DEB,7314.0,0.004648619086683074,66.46
222,THOR ABLESTAR DEB,7310.5,0.006360714041447234,66.89
223,THOR ABLESTAR DEB,7236.0,0.005804311774461028,66.74
224,THOR ABLESTAR DEB,7151.5,0.010697056561560512,66.8
226,DELTA 1 DEB [YO],7137.5,0.012959719789842382,48.15
227,DELTA 1 DEB [YO],6887.5,0.0009437386569872958,48.42
229,THOR ABLESTAR DEB,7284.0,0.010021965952773201,66.88
231,THOR ABLESTAR DEB,7271.0,0.006051437216338881,66.82
232,THOR ABLESTAR DEB,6978.0,0.0031527658354829464,66.84
233,THOR ABLESTAR DEB,7260.0,0.007575757575757576,66.87
234,THOR ABLESTAR DEB,7236.0,0.015616362631288004,66.96
242,THOR ABLESTAR DEB,7271.0,0.002475587952138633,66.46
243,THOR ABLESTAR DEB,7288.0,0.006860592755214051,66.84
244,THOR ABLESTAR DEB,7215.0,0.005544005544005544,66.11
245,THOR ABLESTAR DEB,7321.0,0.006966261439694031,66.87
251,THOR ABLESTAR DEB,7351.5,0.005917159763313609,67.08
