,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
4,VANGUARD 1,8615.0,0.18432965757399883,34.25
10,VANGUARD 2,8109.5,0.14544669831678894,32.87
19,VANGUARD 3,8243.5,0.16479650633832715,33.35
21,EXPLORER 7,6912.0,0.010561342592592593,50.28
28,TIROS 1,7017.0,0.0022801767136953113,48.38
44,TRANSIT 2A,7153.0,0.025863274150706,66.69
45,SOLRAD 1 (GREB),7095.0,0.019591261451726568,66.69
57,COURIER 1B,7464.0,0.01647909967845659,28.33
106,EXPLORER 11,7214.0,0.05156639866925423,28.79
115,TRANSIT 4A,7299.0,0.007672283874503356,66.81
116,SOLRAD 3 & INJUN 1,7306.5,0.007595976185588175,66.81
161,TIROS 3,7120.5,0.004423846639983148,47.9
162,MIDAS 3,9822.0,0.009875789045001018,91.1
191,MIDAS 4,10002.5,0.01374656335916021,95.86
201,TRANSIT 4B,7400.0,0.010135135135135136,32.44
204,TRAAC,7404.5,0.01019650212708488,32.44
225,TIROS 4,7115.0,0.007730147575544624,48.3
270,MIDAS 5 (STRONGBACK),9475.0,0.03282321899736148,86.66
308,TIROS 5,7074.0,0.019225332202431437,58.09
339,TELSTAR 1,9670.5,0.24223152887648003,44.8
368,FTV 3502,6979.5,0.008381689232753063,98.53
396,TIROS 6,6967.0,0.001291804219893785,58.3
423,ALOUETTE 1 (S-27),7379.5,0.002371434379022969,80.47
445,ANNA 1B,7504.5,0.006995802518488907,50.14
502,RELAY 1 (A-15),10757.0,0.28409407827461186,47.5
505,EXPLORER 16,7322.0,0.027724665391969407,52.0
552,SYNCOM 1,38155.5,0.07777384649657323,28.02
572,TELSTAR 2 (A-41),12263.0,0.4006360596917557,42.76
573,MIDAS 6 (FTV 1169),10022.0,0.0031929754540011976,87.31
588,DASH 1,10019.5,0.012725185887519338,87.31
607,ERS 6,10022.0,0.006884853322690082,87.31
621,MIDAS 7/ERS 10,10079.0,0.0032741343387240798,88.39
633,SYNCOM 2 (A 26),42160.5,0.0010317714448358061,31.37
634,ERS 9,10079.0,0.004960809604127394,88.39
669,TRANSIT 5B-1,7470.5,0.004216585235258684,89.99
670,RADIATION SAT (5E-1),7468.5,0.003949923009975229,89.99
673,VELA 2,115190.5,0.3890728836145342,45.88
691,VELA 1,115369.5,0.5926306346131344,20.38
693,ATLAS CENTAUR 2,7241.5,0.056134778706069186,30.35
703,TRANSIT 5B-2,7461.5,0.0032835220800107217,89.91
704,TRANSIT 5E-3,7459.0,0.0032175894892076686,89.91
715,TIROS 8,7033.5,0.002345915973555129,58.5
727,GGSE 1 (GGRS),7280.0,0.001098901098901099,69.91
728,SECOR 1B,7288.5,0.0013034232009329766,69.9
729,SOLRAD 7A,7286.0,0.0010979961570134504,69.91
730,GREB,7285.0,0.001098146877144818,69.91
733,OPS 3367 A,7172.0,0.0013943112102621305,98.98
734,OPS 3367 B,7175.5,0.0016026757717232248,99.0
736,RELAY 2,11128.0,0.25988497483824585,46.46
745,ELEKTRON 1,9705.0,0.3019062339000515,60.87
800,OPS 4412 (TRANSIT 9),7216.5,0.004642139541328899,90.47
811,OPS 4467 A,7189.0,0.0005564056196967589,99.78
