,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
11,VANGUARD R/B,8304.5,0.16527184056836655,32.9
15,VANGUARD R/B,8812.5,0.20249645390070922,34.27
46,THOR ABLESTAR R/B,7123.5,0.022952200463255423,66.66
49,DELTA 1 R/B,7970.0,0.011417816813048933,47.23
58,THOR ABLESTAR R/B,7438.5,0.01888821671035827,28.25
81,SCOUT X-1 R/B,7940.0,0.11649874055415617,38.85
117,THOR ABLESTAR R/B,7263.5,0.008329317821986645,66.76
203,THOR ABLESTAR R/B,7396.0,0.009870200108166577,32.44
340,DELTA 1 R/B,9661.0,0.24179691543318496,44.79
425,THOR AGENA B R/B,7382.5,0.0018286488316965797,80.47
446,THOR ABLESTAR R/B,7490.5,0.0066083706027635,50.13
514,DELTA 1 R/B,10747.0,0.2834279333767563,47.52
574,DELTA 1 R/B,12251.0,0.40004897559382907,42.75
668,THOR ABLESTAR R/B,7465.0,0.002813127930341594,90.0
702,THOR ABLESTAR R/B,7450.5,0.0014093013891685123,89.91
720,SCOUT X-4 R/B,7823.5,0.10883875503291365,78.61
726,THOR AGENA D R/B,7287.0,0.0010978454782489364,69.91
732,THOR AGENA D R/B,7158.5,0.003282810644688133,99.09
737,DELTA 1 R/B,11130.0,0.26037735849056604,46.46
740,THOR AGENA B R/B,7548.5,0.017155726303239055,81.49
808,SCOUT X-4 R/B,7236.5,0.0038001796448559385,90.47
814,THOR AGENA D R/B,7176.0,0.0011148272017837235,99.84
861,DELTA 1 R/B,26166.5,0.7108898782794795,15.72
870,SCOUT X-4 R/B,7271.5,0.008595200440074263,79.9
876,SL-3 R/B,7069.0,0.005658508982883011,65.08
892,THOR ABLESTAR R/B,7427.5,0.0023561090541905083,90.22
906,SCOUT X-4 R/B,7339.0,0.012126992778307671,79.69
932,SCOUT X-4 R/B,7717.5,0.10579850988014253,81.33
952,THOR ABLESTAR R/B,7418.0,0.0033701806416823942,90.02
978,DELTA 1 R/B,7991.5,0.11405868735531502,96.42
1000,TITAN 3A TRANSTAGE R/B,9157.5,0.0018018018018018018,32.14
1244,THOR AGENA D R/B,7280.5,0.001991621454570428,70.08
1317,DELTA 1 R/B(2),25610.0,0.6952752830925419,17.87
1357,SCOUT X-4 R/B,7494.0,0.02468641579930611,41.19
1358,TITAN 3A TRANSTAGE R/B,9640.5,0.04963435506457134,32.13
1427,THOR ABLESTAR R/B,7440.5,0.0057119817216584904,89.88
1432,DELTA 1 R/B,7071.0,0.00410125866214114,98.49
1501,SCOUT B R/B,8156.5,0.07840372708882487,69.23
1507,THOR ABLESTAR R/B,7502.0,0.0039989336177019465,90.15
1574,SL-8 R/B,7813.0,0.009727377447843338,56.13
1582,THOR ALTAIR R/B,7067.0,0.014857789726899674,98.47
1588,SL-8 R/B,7914.0,0.01579479403588577,56.05
1615,ATLAS D R/B,7540.0,0.10172413793103448,144.23
1728,DELTA 1 R/B,8070.0,0.07162329615861214,59.39
1738,SCOUT X-4 R/B,7091.5,0.00867235422689135,59.7
1804,DIAMANT R/B,7326.5,0.059714734184126116,34.25
1806,THOR AGENA B R/B,7941.0,0.1336103765268858,79.84
1814,SCOUT X-4 R/B,6988.5,0.0005008227802818917,75.85
1862,TITAN 3C TRANSTAGE R/B,16961.5,0.6045161100138549,26.84
1864,SCOUT A R/B,7354.0,0.011422355180853957,89.07
1952,SCOUT A R/B,7396.0,0.022579772850189292,90.16
1982,DELTA 1 R/B,7052.5,0.0064516129032258064,98.02
2016,DIAMANT R/B,7682.5,0.10536934591604295,34.06
2095,DELTA 1 R/B,7760.0,0.003994845360824742,100.94
