,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
4,VANGUARD 1,8615.0,0.18432965757399883,34.25
10,VANGUARD 2,8109.5,0.14544669831678894,32.87
11,VANGUARD R/B,8304.5,0.16527184056836655,32.9
15,VANGUARD R/B,8812.5,0.20249645390070922,34.27
19,VANGUARD 3,8243.5,0.16479650633832715,33.35
21,EXPLORER 7,6912.0,0.010561342592592593,50.28
28,TIROS 1,7017.0,0.0022801767136953113,48.38
44,TRANSIT 2A,7153.0,0.025863274150706,66.69
45,SOLRAD 1 (GREB),7095.0,0.019591261451726568,66.69
46,THOR ABLESTAR R/B,7123.5,0.022952200463255423,66.66
49,DELTA 1 R/B,7970.0,0.011417816813048933,47.23
50,ECHO 1 DEB [METAL OBJ],7978.0,0.010654299323138631,47.21
51,ECHO 1 DEB [MYLAR OBJ],7980.5,0.013595639370966731,47.38
52,ECHO 1 DEB [METAL OBJ],7982.0,0.010022550739163118,47.28
57,COURIER 1B,7464.0,0.01647909967845659,28.33
58,THOR ABLESTAR R/B,7438.5,0.01888821671035827,28.25
81,SCOUT X-1 R/B,7940.0,0.11649874055415617,38.85
84,SCOUT X-1 DEB,7045.5,0.023064367326662408,38.72
106,EXPLORER 11,7214.0,0.05156639866925423,28.79
114,THOR ABLE DEB [YO],6972.0,0.0030120481927710845,48.16
115,TRANSIT 4A,7299.0,0.007672283874503356,66.81
116,SOLRAD 3 & INJUN 1,7306.5,0.007595976185588175,66.81
117,THOR ABLESTAR R/B,7263.5,0.008329317821986645,66.76
118,THOR ABLESTAR DEB,7184.5,0.010230357018581668,66.73
119,THOR ABLESTAR DEB,7176.5,0.01052044868668571,66.71
120,THOR ABLESTAR DEB,7271.5,0.008595200440074263,66.75
121,THOR ABLESTAR DEB,6995.5,0.005503537988707026,66.75
122,THOR ABLESTAR DEB,7137.5,0.010998248686514887,66.69
123,THOR ABLESTAR DEB,7157.0,0.0076847841274276935,66.54
124,THOR ABLESTAR DEB,7248.5,0.007242877836793819,66.88
125,THOR ABLESTAR DEB,7133.0,0.006308706014299734,66.71
126,THOR ABLESTAR DEB,7122.0,0.006318449873631003,66.83
127,THOR ABLESTAR DEB,7266.0,0.009083402146985962,66.67
129,THOR ABLESTAR DEB,7275.0,0.00852233676975945,66.77
130,THOR ABLESTAR DEB,7267.0,0.0077060685289665615,66.73
131,THOR ABLESTAR DEB,7290.5,0.00816130580892943,66.66
132,THOR ABLESTAR DEB,7199.5,0.0059031877213695395,67.12
133,THOR ABLESTAR DEB,7281.0,0.008790001373437715,66.88
135,THOR ABLESTAR DEB,7142.0,0.005600672080649678,67.53
137,THOR ABLESTAR DEB,7259.5,0.003788139679041256,67.16
140,THOR ABLESTAR DEB,7313.0,0.004785997538629837,66.59
143,THOR ABLESTAR DEB,7302.5,0.003765833618623759,66.5
144,THOR ABLESTAR DEB,7263.0,0.005920418559823764,66.92
146,THOR ABLESTAR DEB,7196.0,0.005141745414118955,66.62
147,THOR ABLESTAR DEB,7242.5,0.01567138419054194,65.77
149,THOR ABLESTAR DEB,7331.5,0.006751687921980495,66.25
151,THOR ABLESTAR DEB,7235.5,0.015962960403565752,66.59
