,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
38012,ASAP-S,6919.5,0.0010838933448948623,98.05
43663,OBJECT C,6785.0,0.0004421518054532056,97.33
43664,OBJECT D,6779.0,0.0004425431479569258,97.33
43754,OBJECT E,7716.0,0.021643338517366512,82.51
43762,UPPER FREE FLYER,6932.5,0.0013703570140641903,97.53
43821,OBJECT BS,6929.0,0.0008659258190215039,97.53
43833,OBJECT D,6866.0,0.0011651616661811825,97.41
43834,OBJECT E,6804.0,0.0007348618459729571,97.42
43835,OBJECT F,6797.0,0.0007356186552890981,97.43
43836,OBJECT G,6782.0,0.0005897965202005308,97.43
43838,OBJECT J,6797.5,0.0008091210003677823,97.45
43896,OBJECT X,6808.5,0.0012484394506866417,97.06
43897,OBJECT Y,6770.5,0.0008123476848090983,97.05
43899,OBJECT AA,6817.5,0.0013934726806013934,97.06
44888,OBJECT L,6982.0,0.0012890289315382413,97.82
44889,OBJECT M,6941.0,0.00345771502665322,97.79
44890,OBJECT N,6933.5,0.0012259320689406504,98.0
45914,OBJECT E,7003.5,0.0180623973727422,97.68
47251,OBJECT E,7872.0,0.0016514227642276424,82.5
47422,OBJECT L,6872.0,0.001309662398137369,97.32
47423,OBJECT M,6873.5,0.0010911471593802284,97.32
47435,OBJECT Z,6876.5,0.0010906711262997164,97.32
47436,OBJECT AA,6878.0,0.0008723466123873219,97.32
47693,OBJECT D,7470.5,0.011712736764607457,63.41
47696,OBJECT G,7482.0,0.010558674151296445,63.4
47699,OBJECT B,6865.5,0.003277255844439589,97.21
47858,OBJECT F,7470.5,0.011712736764607457,63.41
47936,OBJECT F,6887.5,0.0015245009074410162,97.45
47938,OBJECT H,6774.5,0.0012547051442910915,97.45
47942,OBJECT M,6776.5,0.0012543348336161734,97.44
47945,OBJECT Q,6854.0,0.0014590020426028597,97.44
47946,OBJECT R,6920.0,0.0018786127167630057,97.44
47952,OBJECT X,6872.0,0.0016006984866123398,97.44
47957,OBJECT AC,6868.5,0.0016743102569702264,97.44
48251,OBJECT E,6749.5,0.0005185569301429736,97.25
48252,OBJECT F,6706.5,0.0003727726832177738,97.25
49023,OBJECT D,7174.5,0.0006272214091574326,98.7
49046,OBJECT E,7178.0,0.0005572582892170521,98.7
49398,OBJECT K,6905.0,0.002172338884866039,97.42
51062,OBJECT CN,6851.0,0.0005838563713326521,97.38
51070,OBJECT CW,6721.5,0.0002231644722160232,97.37
51077,OBJECT DD,6755.5,0.0002220412996817408,97.37
51920,OBJECT H,6912.0,0.008101851851851851,63.64
53076,OBJECT H,12221.5,0.0006954956429243547,70.15
53350,OBJECT D,6761.5,0.004362937218072913,97.33
54779,OBJECT D,7281.5,0.0014420105747442148,67.14
55070,OBJECT DD,6812.0,0.000733998825601879,97.41
56109,OBJECT B,7383.0,0.016659894351889477,63.41
56182,OBJECT BQ,6847.0,0.0010223455527968454,97.55
56945,OBJECT BW,6746.0,0.0008894159501927068,97.53
57273,OBJECT AW,6877.5,0.001381315885132679,97.6
57274,OBJECT AX,6894.0,0.0015955903684363214,97.6
57275,OBJECT AY,6878.0,0.0014539110206455365,97.6
57276,OBJECT AZ,6824.0,0.0008792497069167644,97.59
57277,OBJECT BA,6895.0,0.001595358955765047,97.6
57278,OBJECT BB,6877.5,0.001381315885132679,97.6
57380,OBJECT F,6858.0,0.0030621172353455816,97.34
58373,OBJECT B,7482.0,0.0012028869286287089,49.96
58374,OBJECT C,7482.0,0.0012028869286287089,49.96
58375,OBJECT D,7281.5,0.0007553388724850649,67.15
58446,OBJECT D,6981.5,0.003938981594213278,98.12
58453,OBJECT B,6920.0,0.02875722543352601,86.58
58454,OBJECT C,6977.0,0.035258707180736704,86.59
58503,OBJECT D,6753.5,0.001110535278003998,97.26
58515,OBJECT CZ,6812.5,0.0011009174311926607,97.44
58517,OBJECT DB,6870.5,0.0008005239793319264,97.45
58518,OBJECT DC,6837.5,0.001243144424131627,97.45
58643,OBJECT DF,6840.0,0.0014619883040935672,97.22
58673,OBJECT Q,6907.5,0.0012305465074194716,97.62
58674,OBJECT R,6925.0,0.001588447653429603,97.62
58772,OBJECT F,6876.5,0.0012360939431396785,97.5
58799,OBJECT D,7135.0,0.043307638402242464,58.67
58874,OBJECT L,6913.0,0.0011572399826414003,97.39
59172,OBJECT A,119460.5,0.9384733866005919,27.66
59422,OBJECT DL,6838.0,0.0007312079555425563,97.44
59502,OBJECT B,6804.0,0.005731922398589065,35.08
59621,OBJECT A,6848.0,0.0007301401869158878,97.39
59828,OBJECT G,6980.0,0.00028653295128939826,49.99
59959,OBJECT D,6916.0,0.0013013302486986698,97.6
60178,OBJECT A,6957.5,0.0022278117139777217,62.0
60184,OBJECT G,6949.5,0.0019425857975393912,61.99
60391,OBJECT CA,6852.0,0.0007297139521307647,97.55
60398,OBJECT C,6755.0,0.007253886010362694,36.93
60399,OBJECT D,6824.5,0.003003883068356656,37.37
60691,OBJECT G,6772.5,0.015430047988187524,97.64
60692,OBJECT H,6877.5,0.001381315885132679,97.37
61125,OBJECT A,28536.0,0.00791982057751612,54.93
61128,OBJECT D,15612.5,0.5803362690152122,55.01
61175,OBJECT J,6872.5,0.0018188432157148053,97.38
61176,OBJECT K,6864.0,0.0020396270396270395,97.44
61177,OBJECT L,6835.5,0.008704557091653867,97.68
61203,OBJECT F,6776.0,0.01770956316410862,97.43
61383,OBJECT G,6782.5,0.018650939918908958,97.44
